menu_id,restaurant_id,item_name,category,price,vegetarian
M00243,R0038,Chicken Burger,Snack,496,No
M00244,R0038,Wrap,Snack,578,No
M00245,R0038,Spring Rolls,Snack,161,No
M00246,R0038,Manchurian,Snack,444,Yes
M00247,R0039,Mishti Doi,Starter,226,Yes
M00248,R0039,Luchi,Snack,522,Yes
M00249,R0039,Kosha Mangsho,Dessert,573,Yes
M00250,R0039,Fish Curry,Main Course,559,No
M00251,R0040,Quesadilla,Main Course,399,No
M00252,R0040,Tacos,Dessert,283,Yes
M00253,R0041,Chicken Fry,Starter,382,Yes
M00254,R0041,Gongura Chicken,Snack,449,No
M00255,R0041,Pulihora,Main Course,192,No
M00256,R0041,Stew,Starter,371,Yes
M00257,R0041,Appam,Dessert,80,Yes
M00258,R0041,Fish Curry,Dessert,220,No
M00259,R0041,Kerala Parotta,Dessert,267,No
M00260,R0042,Wrap,Snack,273,Yes
M00261,R0042,Chicken Burger,Starter,463,No
M00262,R0043,Tom Yum,Snack,267,Yes
M00263,R0043,Pad Thai,Dessert,369,Yes
M00264,R0043,Thai Green Curry,Dessert,162,Yes
M00265,R0044,Brownie,Starter,454,Yes
M00266,R0044,Ice Cream,Main Course,459,Yes
M00267,R0044,Gulab Jamun,Beverage,401,No
M00268,R0044,Idli,Beverage,369,Yes
M00269,R0044,Bisibele Bath,Snack,294,No
M00270,R0044,Vada,Snack,310,Yes
M00271,R0045,Veg Steak,Dessert,612,Yes
M00272,R0045,Pasta,Snack,132,Yes
M00273,R0045,Chicken Steak,Starter,360,No
M00274,R0045,Grilled Sandwich,Starter,262,Yes
M00275,R0045,Andhra Meals,Beverage,239,No
M00276,R0045,Pulihora,Main Course,491,No
M00277,R0045,Chicken Fry,Beverage,132,No
M00278,R0046,Luchi,Beverage,284,Yes
M00279,R0046,Fish Curry,Main Course,91,Yes
M00280,R0046,Kosha Mangsho,Main Course,433,Yes
M00281,R0046,Mishti Doi,Snack,640,Yes
M00282,R0047,Wrap,Dessert,233,No
M00283,R0047,Chicken Burger,Starter,422,No
M00284,R0047,Fried Rice,Dessert,236,No
M00285,R0047,Manchurian,Snack,216,Yes
M00286,R0047,Hakka Noodles,Main Course,507,No
M00287,R0048,Mughlai Paratha,Snack,256,No
M00288,R0048,Chicken Korma,Beverage,500,Yes
M00289,R0048,Butter Chicken,Main Course,550,No
M00290,R0048,Pasta Alfredo,Main Course,254,Yes
M00291,R0048,Garlic Bread,Dessert,314,Yes
M00292,R0048,Gulab Jamun,Beverage,510,Yes
M00293,R0048,Waffle,Starter,612,Yes
M00294,R0049,Chicken Steak,Starter,180,No
M00295,R0049,Veg Steak,Beverage,632,Yes
M00296,R0049,Grilled Sandwich,Snack,382,No
M00297,R0049,Pasta,Main Course,306,No
M00298,R0049,Thai Green Curry,Dessert,289,Yes
M00299,R0049,Pad Thai,Dessert,179,Yes
M00300,R0049,Burrito,Snack,179,Yes
M00301,R0049,Nachos,Dessert,241,Yes
M00302,R0049,Tacos,Starter,342,Yes
M00303,R0050,Andhra Meals,Beverage,228,No
M00304,R0050,Chicken Fry,Starter,435,Yes
M00305,R0050,Gongura Chicken,Beverage,314,Yes
M00306,R0051,Pasta,Main Course,644,No
M00307,R0051,Veg Steak,Dessert,637,Yes
M00308,R0051,Kosha Mangsho,Main Course,477,No
M00309,R0051,Luchi,Snack,466,Yes
M00310,R0051,Garlic Bread,Dessert,250,Yes
M00311,R0051,Lasagna,Beverage,457,No
M00312,R0051,Pasta Alfredo,Main Course,309,Yes
M00313,R0052,Thai Green Curry,Beverage,581,Yes
M00314,R0052,Pad Thai,Main Course,254,No
M00315,R0052,Spring Rolls,Starter,500,No
M00316,R0052,Tom Yum,Dessert,112,Yes
M00317,R0053,Quesadilla,Beverage,607,No
M00318,R0053,Burrito,Snack,452,No
M00319,R0053,Tacos,Dessert,307,Yes
M00320,R0053,Spring Rolls,Snack,304,Yes
M00321,R0053,Manchurian,Starter,583,No
M00322,R0053,Hakka Noodles,Dessert,293,Yes
M00323,R0053,Fried Rice,Beverage,274,Yes
M00324,R0053,Tom Yum,Beverage,284,Yes
M00325,R0053,Spring Rolls,Beverage,550,No
M00326,R0054,Cappuccino,Starter,513,Yes
M00327,R0054,Club Sandwich,Beverage,357,Yes
M00328,R0054,Cold Coffee,Starter,169,No
M00329,R0054,Butter Naan,Starter,473,Yes
M00330,R0054,Chole Bhature,Dessert,418,Yes
M00331,R0054,Paneer Butter Masala,Dessert,535,Yes
M00332,R0054,Dal Makhani,Beverage,491,Yes
M00333,R0055,Pasta Alfredo,Beverage,181,No
M00334,R0055,Lasagna,Beverage,648,Yes
M00335,R0055,Garlic Bread,Starter,321,No
M00336,R0055,Margherita Pizza,Starter,84,No
M00337,R0055,Bisibele Bath,Main Course,501,Yes
M00338,R0055,Masala Dosa,Main Course,94,No
M00339,R0056,Fried Rice,Dessert,469,No
M00340,R0056,Spring Rolls,Main Course,381,Yes
M00341,R0057,Paneer Butter Masala,Dessert,599,Yes
M00342,R0057,Chole Bhature,Beverage,572,Yes
M00343,R0057,Butter Naan,Beverage,240,Yes
M00344,R0057,Dal Makhani,Snack,412,No
M00345,R0057,Stew,Beverage,331,No
M00346,R0057,Appam,Snack,169,No
M00347,R0057,Kerala Parotta,Starter,411,Yes
M00348,R0057,Fish Curry,Dessert,353,Yes
M00349,R0057,Chicken Biryani,Main Course,233,No
M00350,R0057,Egg Biryani,Beverage,204,No
M00351,R0057,Mutton Biryani,Starter,324,No
M00352,R0057,Veg Biryani,Main Course,326,Yes
M00353,R0058,Cappuccino,Beverage,574,No
M00354,R0058,Club Sandwich,Starter,506,Yes
M00355,R0058,Andhra Meals,Dessert,165,No
M00356,R0058,Chicken Fry,Starter,500,No
M00357,R0059,Ice Cream,Snack,249,Yes
M00358,R0059,Brownie,Beverage,401,Yes
M00359,R0059,Andhra Meals,Dessert,234,Yes
M00360,R0059,Gongura Chicken,Dessert,530,No
M00361,R0059,Pulihora,Dessert,252,No
M00362,R0059,Chicken Fry,Beverage,344,No
M00363,R0060,Quesadilla,Starter,406,Yes
M00364,R0060,Tacos,Snack,483,Yes
M00365,R0060,Burrito,Dessert,438,Yes
M00366,R0060,Nachos,Main Course,96,Yes
M00367,R0060,Spring Rolls,Dessert,170,No
M00368,R0060,Thai Green Curry,Beverage,193,Yes
M00369,R0060,Tom Yum,Main Course,233,Yes
M00370,R0060,Chicken Fry,Starter,184,Yes
M00371,R0060,Andhra Meals,Main Course,272,Yes
M00372,R0060,Pulihora,Main Course,335,Yes
M00373,R0060,Gongura Chicken,Snack,178,No
M00374,R0061,Idli,Beverage,278,Yes
M00375,R0061,Masala Dosa,Main Course,631,Yes
M00376,R0061,Bisibele Bath,Dessert,541,No
M00377,R0061,Chicken Korma,Beverage,188,Yes
M00378,R0061,Butter Chicken,Starter,447,Yes
M00379,R0061,Seekh Kebab,Beverage,573,Yes
M00380,R0061,Mughlai Paratha,Snack,350,Yes
M00381,R0061,Chicken Burger,Snack,119,Yes
M00382,R0061,Wrap,Dessert,243,No
M00383,R0062,Chicken Korma,Snack,369,Yes
M00384,R0062,Seekh Kebab,Starter,550,Yes
M00385,R0062,Idli,Dessert,588,Yes
M00386,R0062,Vada,Starter,645,No
M00387,R0062,Bisibele Bath,Dessert,470,Yes
M00388,R0062,Masala Dosa,Dessert,396,No
M00389,R0063,Andhra Meals,Beverage,117,Yes
M00390,R0063,Gongura Chicken,Beverage,248,Yes
M00391,R0063,Pulihora,Dessert,422,No
M00392,R0063,Chicken Fry,Main Course,621,No
M00393,R0063,Mughlai Paratha,Starter,461,No
M00394,R0063,Butter Chicken,Snack,126,No
M00395,R0063,Veg Biryani,Dessert,351,Yes
M00396,R0063,Chicken Biryani,Snack,281,No
M00397,R0063,Mutton Biryani,Snack,241,Yes
M00398,R0063,Egg Biryani,Starter,559,No
M00399,R0064,Veg Biryani,Beverage,190,Yes
M00400,R0064,Mutton Biryani,Starter,181,Yes
M00401,R0064,Egg Biryani,Starter,270,Yes
M00402,R0064,Gongura Chicken,Main Course,183,Yes
M00403,R0064,Pulihora,Snack,277,Yes
M00404,R0064,Andhra Meals,Main Course,246,Yes
M00405,R0064,Chicken Fry,Starter,497,Yes
M00406,R0064,Cold Coffee,Beverage,387,Yes
M00407,R0064,Club Sandwich,Snack,416,Yes
M00408,R0065,Dal Makhani,Starter,553,Yes
M00409,R0065,Paneer Butter Masala,Beverage,623,Yes
M00410,R0066,Gulab Jamun,Beverage,498,No
M00411,R0066,Waffle,Main Course,349,Yes
M00412,R0066,Ice Cream,Main Course,394,Yes
M00413,R0066,Garlic Bread,Starter,247,Yes
M00414,R0066,Margherita Pizza,Dessert,272,Yes
M00415,R0066,Hakka Noodles,Dessert,319,No
M00416,R0066,Fried Rice,Snack,634,No
M00417,R0066,Manchurian,Starter,174,No
M00418,R0066,Spring Rolls,Beverage,230,No
M00419,R0067,Veg Steak,Snack,258,Yes
M00420,R0067,Chicken Steak,Main Course,579,No
M00421,R0067,Grilled Sandwich,Beverage,192,No
M00422,R0067,Kerala Parotta,Snack,219,Yes
M00423,R0067,Stew,Starter,596,Yes
M00424,R0067,Fish Curry,Beverage,148,No
M00425,R0068,Tom Yum,Starter,98,No
M00426,R0068,Spring Rolls,Dessert,529,No
M00427,R0068,Thai Green Curry,Beverage,368,Yes
M00428,R0068,Pad Thai,Beverage,470,Yes
M00429,R0069,Chole Bhature,Dessert,483,Yes
M00430,R0069,Paneer Butter Masala,Main Course,440,Yes
M00431,R0069,Butter Naan,Starter,471,No
M00432,R0069,Dal Makhani,Dessert,281,Yes
M00433,R0070,Lasagna,Beverage,397,Yes
M00434,R0070,Margherita Pizza,Dessert,161,No
M00435,R0070,Garlic Bread,Beverage,504,Yes
M00436,R0070,Mishti Doi,Snack,177,Yes
M00437,R0070,Kosha Mangsho,Snack,287,No
M00438,R0070,Luchi,Beverage,245,No
M00439,R0070,Fish Curry,Main Course,518,Yes
M00440,R0071,Egg Biryani,Beverage,632,No
M00441,R0071,Mutton Biryani,Beverage,187,Yes
M00442,R0071,Veg Biryani,Beverage,562,Yes
M00443,R0071,Chicken Biryani,Main Course,493,Yes
M00444,R0071,Fish Curry,Snack,152,Yes
M00445,R0071,Kosha Mangsho,Starter,522,No
M00446,R0071,Luchi,Snack,587,No
M00447,R0072,Burrito,Main Course,345,Yes
M00448,R0072,Nachos,Snack,639,Yes
M00449,R0072,Chicken Korma,Main Course,493,Yes
M00450,R0072,Butter Chicken,Dessert,363,Yes
M00451,R0072,Gongura Chicken,Starter,243,Yes
M00452,R0072,Chicken Fry,Starter,499,Yes
M00453,R0073,Brownie,Starter,449,Yes
M00454,R0073,Ice Cream,Snack,133,Yes
M00455,R0074,Dal Makhani,Starter,446,Yes
M00456,R0074,Paneer Butter Masala,Beverage,458,Yes
M00457,R0074,Chole Bhature,Starter,327,No
M00458,R0074,Chicken Burger,Main Course,291,Yes
M00459,R0074,Wrap,Starter,230,Yes
M00460,R0074,Mishti Doi,Starter,445,Yes
M00461,R0074,Fish Curry,Snack,375,Yes
M00462,R0074,Luchi,Dessert,393,Yes
M00463,R0074,Kosha Mangsho,Snack,607,No
M00464,R0075,Chicken Biryani,Main Course,629,Yes
M00465,R0075,Mutton Biryani,Snack,243,Yes
M00466,R0075,Veg Biryani,Dessert,583,Yes
M00467,R0075,Brownie,Starter,573,Yes
M00468,R0075,Waffle,Main Course,152,Yes
M00469,R0075,Gulab Jamun,Dessert,469,Yes
M00470,R0076,Spring Rolls,Beverage,628,Yes
M00471,R0076,Manchurian,Main Course,647,Yes
M00472,R0076,French Fries,Snack,202,No
M00473,R0076,Wrap,Main Course,499,No
M00474,R0077,Spring Rolls,Main Course,142,No
M00475,R0077,Manchurian,Snack,264,Yes
M00476,R0077,Fried Rice,Beverage,293,No
M00477,R0077,Hakka Noodles,Dessert,167,No
M00478,R0077,Thai Green Curry,Main Course,200,Yes
M00479,R0077,Tom Yum,Dessert,100,No
M00480,R0077,Spring Rolls,Snack,382,No
M00481,R0077,Pad Thai,Snack,148,Yes
M00482,R0078,Lasagna,Starter,356,Yes
M00483,R0078,Margherita Pizza,Main Course,131,No
M00484,R0078,Pasta Alfredo,Starter,390,No
M00485,R0078,Garlic Bread,Dessert,627,No
M00486,R0078,Chicken Steak,Starter,292,Yes
M00487,R0078,Pasta,Starter,85,Yes
M00488,R0078,Veg Steak,Dessert,626,Yes
M00489,R0078,Veg Biryani,Dessert,505,Yes
M00490,R0078,Egg Biryani,Starter,155,Yes
M00491,R0078,Chicken Biryani,Snack,493,Yes
M00492,R0078,Mutton Biryani,Starter,364,Yes
M00493,R0079,Chicken Steak,Beverage,574,No
M00494,R0079,Veg Steak,Dessert,480,Yes
M00495,R0079,French Fries,Dessert,97,No
M00496,R0079,Chicken Burger,Starter,493,Yes
M00497,R0079,Veg Burger,Snack,495,Yes
M00498,R0079,Wrap,Main Course,578,No
M00499,R0079,Andhra Meals,Snack,313,No
M00500,R0079,Chicken Fry,Snack,285,Yes
M00501,R0079,Pulihora,Snack,197,Yes
M00502,R0080,Gulab Jamun,Starter,254,Yes
M00503,R0080,Brownie,Starter,98,Yes
M00504,R0080,Ice Cream,Snack,409,Yes
M00505,R0080,Tom Yum,Main Course,433,Yes
M00506,R0080,Spring Rolls,Dessert,172,No
M00507,R0080,Pad Thai,Dessert,639,Yes
M00508,R0080,Thai Green Curry,Dessert,396,Yes
M00509,R0080,Luchi,Dessert,404,No
M00510,R0080,Fish Curry,Starter,530,Yes
M00511,R0080,Mishti Doi,Main Course,182,Yes
M00512,R0080,Kosha Mangsho,Starter,608,Yes
M00513,R0081,Chicken Burger,Dessert,495,No
M00514,R0081,Wrap,Beverage,223,Yes
M00515,R0082,Luchi,Starter,172,Yes
M00516,R0082,Mishti Doi,Starter,578,No
M00517,R0082,Fish Curry,Snack,278,No
M00518,R0082,Brownie,Starter,508,Yes
M00519,R0082,Gulab Jamun,Snack,218,Yes
M00520,R0082,Spring Rolls,Main Course,514,No
M00521,R0082,Tom Yum,Main Course,613,No
M00522,R0082,Pad Thai,Beverage,264,No
M00523,R0083,Manchurian,Dessert,161,No
M00524,R0083,Fried Rice,Dessert,636,No
M00525,R0083,Hakka Noodles,Beverage,300,Yes
M00526,R0083,Spring Rolls,Main Course,402,Yes
M00527,R0083,Brownie,Snack,586,Yes
M00528,R0083,Ice Cream,Beverage,201,Yes
M00529,R0083,Waffle,Snack,175,Yes
M00530,R0083,Gulab Jamun,Snack,493,Yes
M00531,R0083,Stew,Beverage,203,No
M00532,R0083,Fish Curry,Dessert,583,Yes
M00533,R0083,Appam,Starter,215,Yes
M00534,R0084,Butter Naan,Dessert,559,No
M00535,R0084,Chole Bhature,Beverage,434,Yes
M00536,R0084,Paneer Butter Masala,Snack,123,Yes
M00537,R0084,Chicken Korma,Starter,299,No
M00538,R0084,Mughlai Paratha,Dessert,521,Yes
M00539,R0084,Kerala Parotta,Main Course,569,Yes
M00540,R0084,Appam,Dessert,549,No
M00541,R0084,Stew,Main Course,524,Yes
M00542,R0084,Fish Curry,Snack,133,No
M00543,R0085,Veg Steak,Main Course,379,Yes
M00544,R0085,Pasta,Snack,286,No
M00545,R0085,Chicken Steak,Starter,593,No
M00546,R0085,Grilled Sandwich,Beverage,450,No
M00547,R0085,Andhra Meals,Starter,463,No
M00548,R0085,Pulihora,Starter,318,Yes
M00549,R0085,Chicken Fry,Snack,301,Yes
M00550,R0085,Gongura Chicken,Starter,235,Yes
M00551,R0085,Kosha Mangsho,Beverage,516,Yes
M00552,R0085,Luchi,Beverage,559,Yes
M00553,R0085,Fish Curry,Beverage,419,No
M00554,R0086,Veg Steak,Dessert,484,Yes
M00555,R0086,Pasta,Snack,596,No
